,index,timestamp,address,sens1,sens2,sens3,sens4
14653,26053,17.287999868392944, John/eeg, 941.245421245, 853.406593407, 876.373626374, 881.611721612
14655,26055,17.287999868392944, John/eeg, 960.183150183, 857.032967033, 873.15018315, 882.014652015
14657,26057,17.29099988937378, John/eeg, 983.15018315, 855.824175824, 868.717948718, 866.703296703
14679,26079,17.29200005531311, John/eeg, 1000.87912088, 856.63003663, 863.882783883, 854.615384615
14687,26087,17.307999849319458, John/eeg, 981.135531136, 858.241758242, 866.3003663, 869.120879121
14689,26089,17.307999849319458, John/eeg, 939.633699634, 856.227106227, 870.732600733, 880.402930403
14691,26091,17.307999849319458, John/eeg, 938.424908425, 857.032967033, 870.32967033, 889.67032967
14693,26093,17.30900001525879, John/eeg, 947.289377289, 854.212454212, 868.315018315, 875.164835165
14695,26095,17.30900001525879, John/eeg, 954.542124542, 854.212454212, 860.256410256, 854.615384615
14697,26097,17.30900001525879, John/eeg, 970.659340659, 857.032967033, 857.435897436, 866.3003663
14699,26099,17.30999994277954, John/eeg, 970.659340659, 856.227106227, 861.465201465, 861.465201465
14701,26101,17.30999994277954, John/eeg, 967.032967033, 859.450549451, 861.868131868, 859.047619048
14703,26103,17.30999994277954, John/eeg, 969.047619048, 861.465201465, 860.659340659, 873.553113553
14705,26105,17.310999870300293, John/eeg, 968.241758242, 861.062271062, 855.824175824, 874.761904762
14707,26107,17.310999870300293, John/eeg, 965.018315018, 856.227106227, 850.989010989, 866.3003663
14709,26109,17.310999870300293, John/eeg, 972.271062271, 853.406593407, 856.227106227, 858.644688645
14717,26117,17.36899995803833, John/eeg, 973.076923077, 853.003663004, 865.494505495, 863.076923077
14719,26119,17.36899995803833, John/eeg, 981.538461538, 846.95970696, 868.717948718, 875.567765568
14721,26121,17.36899995803833, John/eeg, 1005.31135531, 847.765567766, 866.3003663, 880.0
14723,26123,17.36899995803833, John/eeg, 1004.50549451, 853.80952381, 865.091575092, 879.194139194
14725,26125,17.369999885559082, John/eeg, 958.974358974, 853.003663004, 867.509157509, 869.120879121
14727,26127,17.369999885559082, John/eeg, 920.293040293, 850.586080586, 868.717948718, 875.567765568
14729,26129,17.369999885559082, John/eeg, 940.842490842, 852.600732601, 859.853479853, 888.461538462
14731,26131,17.369999885559082, John/eeg, 971.465201465, 850.586080586, 859.450549451, 875.567765568
14733,26133,17.371000051498413, John/eeg, 991.208791209, 844.542124542, 854.212454212, 869.120879121
14735,26135,17.371000051498413, John/eeg, 981.941391941, 852.197802198, 843.736263736, 875.164835165
14737,26137,17.371000051498413, John/eeg, 950.10989011, 859.853479853, 859.047619048, 884.432234432
14739,26139,17.371000051498413, John/eeg, 944.468864469, 862.271062271, 869.120879121, 882.417582418
14747,26147,17.408999919891357, John/eeg, 955.750915751, 856.63003663, 869.120879121, 870.732600733
14769,26169,17.411999940872192, John/eeg, 961.794871795, 848.168498168, 868.717948718, 870.32967033
14771,26171,17.411999940872192, John/eeg, 969.853479853, 852.197802198, 863.882783883, 859.047619048
14773,26173,17.412999868392944, John/eeg, 970.256410256, 857.032967033, 863.47985348, 859.853479853
14775,26175,17.412999868392944, John/eeg, 967.838827839, 856.227106227, 866.3003663, 872.344322344
14777,26177,17.412999868392944, John/eeg, 974.688644689, 855.421245421, 862.271062271, 880.402930403
14779,26179,17.412999868392944, John/eeg, 971.062271062, 856.227106227, 857.032967033, 879.597069597
14781,26181,17.414000034332275, John/eeg, 966.63003663, 858.241758242, 852.600732601, 873.553113553
14783,26183,17.414000034332275, John/eeg, 974.688644689, 857.838827839, 853.003663004, 859.450549451
14785,26185,17.414000034332275, John/eeg, 1003.6996337, 857.435897436, 854.615384615, 859.047619048
14787,26187,17.414999961853027, John/eeg, 1021.42857143, 853.80952381, 859.450549451, 873.15018315
14789,26189,17.414999961853027, John/eeg, 992.014652015, 852.600732601, 867.106227106, 882.014652015
14797,26197,17.471999883651733, John/eeg, 958.974358974, 852.197802198, 863.47985348, 896.52014652
14799,26199,17.471999883651733, John/eeg, 960.183150183, 850.586080586, 859.450549451, 880.0
14801,26201,17.471999883651733, John/eeg, 1004.1025641, 852.197802198, 860.256410256, 869.926739927
14803,26203,17.473000049591064, John/eeg, 1019.81684982, 849.377289377, 864.688644689, 875.970695971
14805,26205,17.473000049591064, John/eeg, 995.238095238, 849.78021978, 867.912087912, 876.373626374
14807,26207,17.473000049591064, John/eeg, 979.523809524, 856.227106227, 862.271062271, 876.373626374
